Food Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),Sodium (mg),Vitamin A (mcg RAE),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B5 (Pantothenic Acid) (mg),Vitamin B6 (Pyridoxine) (mg),Vitamin B7 (Biotin) (mcg),Vitamin B9 (Folate) (mcg),Vitamin B12 (Cobalamin) (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Choline (mg),Lutein + Zeaxanthin (mcg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (mcg),Zinc (mg),Alanine (g),Arginine (g),Aspartic Acid (g),Cystine (g),Glutamic Acid (g),Glycine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Arsenic (ppm/ug),Cadmium (ppm/ug),Mercury (ppm/ug),Lead (ppm/ug)
Raw Unsalted Sunflower Seeds Total,6.11,0.206,0.534,0.188,0.07,0.09,0.066,0.014,0.004,0.084,0.012,0.014,0.33,2.27,0,0.014,0,0.352,0.026,0.552,0,0.72,0.018,0.052,3.25,0.02,6.6,6.486,0.53,0.05,0.01,0.018,0.018,0.004,0.046,0.012,0.006,0.008,0.014,0.008,0.004,0.01,0.01,0.01,0.008,0.004,0.006,0.01,0.004,0.02,0.0004,0.004
Raw Unsalted Sunflower Seeds % Daily Value (RDI),0.306%,0.412%,0.684%,0.068%,0.25%,0.004%,0.008%,1.166%,0.308%,0.524%,0.24%,0.824%,1.1%,0.568%,0%,0.016%,0%,2.346%,0.022%,0.1%,,0.09%,2%,0.288%,0.774%,0.87%,0.528%,0.216%,0.964%,0.454%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Banana Total,0.93,0.011,0.002,0.225,0.011,0.01,0.067,0.0003,0.0008,0.0067,0.0033,0.0037,0.002,0.2,0,0.087,0,0.001,0.005,0.098,0.22,0,0.0008,0.0026,0.27,0.0027,0.22,3.617,0.01,0.0015,0.0006,0.0006,0.0016,0.0001,0.0013,0.0004,0.0002,0.0004,0.0007,0.0006,0.0001,0.0004,0.0004,0.0004,0.0004,0.0001,0.0002,0.0006,0.0001,0.0001,0,0.0001
Banana % Daily Value (RDI),0.0465%,0.022%,0.0026%,0.0818%,0.0393%,0.0004%,0.0074%,0.025%,0.0577%,0.0416%,0.066%,0.2147%,0.0067%,0.05%,0%,0.0967%,0%,0.0067%,0.0042%,0.0178%,,0%,0.0889%,0.0144%,0.0643%,0.1174%,0.0176%,0.1206%,0.0182%,0.0136%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Regular Whole Milk / Hokkaido Total,0.61,0.033,0.038,0.048,0,0.41,0.38,0.0004,0.0015,0.001,0.0055,0.0003,0.018,0.05,0.003,0.01,0.003,0.001,0.02,0.16,0,1.1,0.0001,0.0002,0.1,0,0.93,1.5,0.03,0.004,0.001,0.0012,0.0025,0.0003,0.0069,0.0007,0.0008,0.002,0.0033,0.0026,0.0008,0.0016,0.0033,0.0018,0.0015,0.0005,0.0016,0.0021,0,0,0,0
Regular Whole Milk / Hokkaido % Daily Value (RDI),0.0305%,0.066%,0.0487%,0.0174%,0%,0.0178%,0.0422%,0.0333%,0.1154%,0.0062%,0.11%,0.0176%,0.06%,0.0125%,0.125%,0.0111%,0.015%,0.0067%,0.0167%,0.0291%,,0.1375%,0.0111%,0.0011%,0.0238%,0.0009%,0.0744%,0.05%,0.0546%,0.0364%,,,,,,,,,,,,,,,,,,,,,,
